
0it [00:00, ?it/s]
Epoch: [37/50]	 Seen Samples: [528064/714500]	Train Loss: 8558.962866539378	Time: 0:01:10.808496: : 37it [43:34, 70.94s/it]
Epoch: [37/50]	 Seen Samples: [528064/714500]	Train Loss: 8558.962866539378	Time: 0:01:10.808496: : 38it [44:45, 70.93s/it]
Epoch: [38/50]	 Seen Samples: [542336/714500]	Train Loss: 8556.126622495096	Time: 0:01:10.921731: : 38it [44:45, 70.93s/it]
Epoch: [38/50]	 Seen Samples: [542336/714500]	Train Loss: 8556.126622495096	Time: 0:01:10.921731: : 39it [45:56, 71.07s/it]
Epoch: [39/50]	 Seen Samples: [556608/714500]	Train Loss: 8563.606094976178	Time: 0:01:11.379595: : 39it [45:56, 71.07s/it]
Epoch: [39/50]	 Seen Samples: [556608/714500]	Train Loss: 8563.606094976178	Time: 0:01:11.379595: : 40it [47:07, 70.98s/it]
Epoch: [40/50]	 Seen Samples: [570880/714500]	Train Loss: 8549.256719888594	Time: 0:01:10.763877: : 40it [47:07, 70.98s/it]
Epoch: [40/50]	 Seen Samples: [570880/714500]	Train Loss: 8549.256719888594	Time: 0:01:10.763877: : 41it [48:19, 71.13s/it]
Epoch: [41/50]	 Seen Samples: [585152/714500]	Train Loss: 8557.855538817264	Time: 0:01:11.482488: : 41it [48:19, 71.13s/it]
Epoch: [41/50]	 Seen Samples: [585152/714500]	Train Loss: 8557.855538817264	Time: 0:01:11.482488: : 42it [49:30, 71.09s/it]
Epoch: [42/50]	 Seen Samples: [599424/714500]	Train Loss: 8551.68000280269	Time: 0:01:10.985334: : 42it [49:30, 71.09s/it] 
Epoch: [42/50]	 Seen Samples: [599424/714500]	Train Loss: 8551.68000280269	Time: 0:01:10.985334: : 43it [50:41, 71.13s/it]
Epoch: [43/50]	 Seen Samples: [613696/714500]	Train Loss: 8558.435192159473	Time: 0:01:11.232073: : 43it [50:41, 71.13s/it]
Epoch: [43/50]	 Seen Samples: [613696/714500]	Train Loss: 8558.435192159473	Time: 0:01:11.232073: : 44it [51:52, 71.09s/it]
Epoch: [44/50]	 Seen Samples: [627968/714500]	Train Loss: 8555.957911470012	Time: 0:01:10.998256: : 44it [51:52, 71.09s/it]
Epoch: [44/50]	 Seen Samples: [627968/714500]	Train Loss: 8555.957911470012	Time: 0:01:10.998256: : 45it [53:02, 70.96s/it]
Epoch: [45/50]	 Seen Samples: [642240/714500]	Train Loss: 8552.607761263313	Time: 0:01:10.652280: : 45it [53:02, 70.96s/it]
Epoch: [45/50]	 Seen Samples: [642240/714500]	Train Loss: 8552.607761263313	Time: 0:01:10.652280: : 46it [54:14, 71.08s/it]
Epoch: [46/50]	 Seen Samples: [656512/714500]	Train Loss: 8551.650524190723	Time: 0:01:11.349569: : 46it [54:14, 71.08s/it]
Epoch: [46/50]	 Seen Samples: [656512/714500]	Train Loss: 8551.650524190723	Time: 0:01:11.349569: : 47it [55:25, 71.17s/it]
Epoch: [47/50]	 Seen Samples: [670784/714500]	Train Loss: 8550.398279848654	Time: 0:01:11.387608: : 47it [55:25, 71.17s/it]
Epoch: [47/50]	 Seen Samples: [670784/714500]	Train Loss: 8550.398279848654	Time: 0:01:11.387608: : 48it [56:36, 70.98s/it]
Epoch: [48/50]	 Seen Samples: [685056/714500]	Train Loss: 8546.318041882707	Time: 0:01:10.529747: : 48it [56:36, 70.98s/it]
Epoch: [48/50]	 Seen Samples: [685056/714500]	Train Loss: 8546.318041882707	Time: 0:01:10.529747: : 49it [57:47, 71.02s/it]
Epoch: [49/50]	 Seen Samples: [699328/714500]	Train Loss: 8546.659900066565	Time: 0:01:11.120098: : 49it [57:47, 71.02s/it]
Epoch: [49/50]	 Seen Samples: [699328/714500]	Train Loss: 8546.659900066565	Time: 0:01:11.120098: : 50it [58:57, 70.90s/it]
Epoch: [50/50]	 Seen Samples: [713600/714500]	Train Loss: 8553.118796857483	Time: 0:01:10.632330: : 50it [58:57, 70.90s/it]
Epoch: [50/50]	 Seen Samples: [713600/714500]	Train Loss: 8553.118796857483	Time: 0:01:10.632330: : 50it [58:57, 70.76s/it]

  0%|          | 0/224 [00:00<?, ?it/s]
  0%|          | 1/224 [00:24<1:30:18, 24.30s/it]
  7%|▋         | 15/224 [00:24<04:03,  1.16s/it] 
 15%|█▍        | 33/224 [00:24<01:21,  2.34it/s]
 23%|██▎       | 51/224 [00:24<00:39,  4.42it/s]
 31%|███▏      | 70/224 [00:24<00:20,  7.46it/s]
 39%|███▉      | 88/224 [00:24<00:11, 11.40it/s]
 47%|████▋     | 106/224 [00:24<00:07, 16.69it/s]
 55%|█████▌    | 124/224 [00:25<00:04, 23.55it/s]
 63%|██████▎   | 141/224 [00:25<00:02, 31.88it/s]
 71%|███████   | 158/224 [00:25<00:01, 41.91it/s]
 78%|███████▊  | 174/224 [00:25<00:00, 53.31it/s]
 86%|████████▌ | 192/224 [00:25<00:00, 68.32it/s]
 94%|█████████▍| 210/224 [00:25<00:00, 84.61it/s]
 94%|█████████▍| 210/224 [00:44<00:00, 84.61it/s]
100%|██████████| 224/224 [01:05<00:00,  3.41it/s]

  0%|          | 0/224 [00:00<?, ?it/s]
  0%|          | 1/224 [00:23<1:27:19, 23.49s/it]
  7%|▋         | 16/224 [00:23<03:39,  1.05s/it] 
 15%|█▌        | 34/224 [00:23<01:16,  2.48it/s]
 24%|██▎       | 53/224 [00:23<00:36,  4.74it/s]
 32%|███▏      | 72/224 [00:23<00:19,  7.88it/s]
 40%|████      | 90/224 [00:24<00:11, 11.92it/s]
 48%|████▊     | 108/224 [00:24<00:06, 17.33it/s]
 56%|█████▋    | 126/224 [00:24<00:03, 24.51it/s]
 65%|██████▌   | 146/224 [00:24<00:02, 34.84it/s]
 74%|███████▎  | 165/224 [00:24<00:01, 46.79it/s]
 82%|████████▏ | 183/224 [00:24<00:00, 59.79it/s]
 90%|████████▉ | 201/224 [00:24<00:00, 73.51it/s]
 98%|█████████▊| 219/224 [00:24<00:00, 88.69it/s]
 98%|█████████▊| 219/224 [00:39<00:00, 88.69it/s]
100%|██████████| 224/224 [01:04<00:00,  3.46it/s]
